2025/09/13 14:45:34 sim: started. tick=20Hz snap=10Hz cell=256m aoi=128m
2025/09/13 14:45:34 sim: http listening on :8081
2025/09/13 14:45:47 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:47 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:47 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:48 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:49 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:50 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:51 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:52 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:45:53 sim: snapshot players=1 entities=1 cells=1
